Published_Airline_IATA_Code,landing_count,passenger_count,total_landed_weight,number_of_airplanes,total_cost_$m,fleet_age_average,fleet_age_distribution,published_airline_air_berlin,published_airline_air_canada,published_airline_air_china,published_airline_air_new_zealand,published_airline_alaska_airlines,published_airline_all_nippon_airways,published_airline_allegiant_air,published_airline_american_airlines,published_airline_asiana_airlines,published_airline_cathay_pacific,published_airline_china_airlines,published_airline_emirates,published_airline_etihad_airways,published_airline_frontier_airlines,published_airline_hawaiian_airlines,published_airline_japan_airlines,published_airline_jet_airways,published_airline_philippine_airlines,published_airline_qantas_airways,published_airline_singapore_airlines,published_airline_spirit_airlines,published_airline_thomas_cook_airlines,published_airline_turkish_airlines,published_airline_united_airlines,published_airline_virgin_america,geo_summary_domestic,geo_summary_international,price_category_code_low_fare,price_category_code_other,landing_aircraft_type_0.17855239944516121,landing_aircraft_type_0.6631465954645208,geo_region_asia,geo_region_australia_/_oceania,geo_region_canada,geo_region_europe,geo_region_middle_east,geo_region_us
AC,17.0,10856,2915500.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,11.0,39564,1730300.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
F9,55.0,19777,7820890.0,64.0,6299.0,6.1000000000000005,5.610704055642215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
OZ,20.0,8820,13166000.0,104.0,20560.0,10.379999999999999,6.370382859591547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
UA,13.0,145325,1790100.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,36.0,176215,5125742.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,173.0,123303,29669500.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,90.0,18458,12798000.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,11.0,50729,1331000.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CX,60.0,16665,33180000.0,201.0,49647.0,12.459999999999999,7.22683271641949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
UA,11.0,136977,824527.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,400.0,155823,55115600.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,153.0,128065,26239500.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,74.0,11687,10197200.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,33.0,52459,5190900.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CX,62.0,15061,34286000.0,201.0,49647.0,12.459999999999999,7.22683271641949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
NZ,22.0,7695,12144000.0,105.0,11413.0,9.566666666666668,7.069559156458532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
OZ,16.0,7547,10502000.0,104.0,20560.0,10.379999999999999,6.370382859591547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
UA,1.0,148903,425000.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,1044.0,165722,148706044.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,55.0,116316,17050000.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,11.0,10591,1515800.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,44.0,51069,6921200.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
EY,13.0,908,7201987.0,124.0,28203.0,7.322222222222221,5.639099612920882,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
NZ,26.0,8016,14352000.0,105.0,11413.0,9.566666666666668,7.069559156458532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
OZ,18.0,7112,11806000.0,104.0,20560.0,10.379999999999999,6.370382859591547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
UA,6.0,135983,826200.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,38.0,152231,5410138.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,567.0,123528,81648000.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,1.0,12823,97000.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,35.0,48590,5505500.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
EK,31.0,11372,26927251.0,249.0,85191.0,6.15,2.3158871590242325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
HA,53.0,11376,21253000.0,49.0,7681.0,12.266666666666666,7.523518680333913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
NZ,27.0,11463,14904000.0,105.0,11413.0,9.566666666666668,7.069559156458532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
OZ,22.0,7680,14442000.0,104.0,20560.0,10.379999999999999,6.370382859591547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
UA,22.0,131825,3216300.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,34.0,164412,4841346.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,57.0,114823,17670000.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,24.0,11565,7677600.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,121.0,49993,15633200.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
F9,140.0,17752,18830000.0,64.0,6299.0,6.1000000000000005,5.610704055642215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
HA,61.0,13881,24461000.0,49.0,7681.0,12.266666666666666,7.523518680333913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
OZ,27.0,8108,17674000.0,104.0,20560.0,10.379999999999999,6.370382859591547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
UA,13.0,145020,1885800.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,257.0,146357,35411773.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,497.0,100010,71568000.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,31.0,11101,9916900.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,16.0,48728,1936000.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CX,56.0,15306,30968000.0,201.0,49647.0,12.459999999999999,7.22683271641949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
EK,28.0,11774,24321388.0,249.0,85191.0,6.15,2.3158871590242325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
HA,56.0,10924,22456000.0,49.0,7681.0,12.266666666666666,7.523518680333913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
OZ,23.0,6945,15066000.0,104.0,20560.0,10.379999999999999,6.370382859591547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
UA,4.0,127460,582900.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,205.0,133618,28246745.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,59.0,119677,11682000.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,14.0,12397,1994100.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,297.0,58892,35937000.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
OZ,17.0,7555,11154000.0,104.0,20560.0,10.379999999999999,6.370382859591547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
UA,13.0,164272,2044900.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,285.0,163017,39269865.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,33.0,119810,2473581.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,26.0,10367,3720300.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,15.0,55673,1815000.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
EK,30.0,13876,26058630.0,249.0,85191.0,6.15,2.3158871590242325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
F9,4.0,18548,568792.0,64.0,6299.0,6.1000000000000005,5.610704055642215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
HA,60.0,14571,24060000.0,49.0,7681.0,12.266666666666666,7.523518680333913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
OZ,16.0,8327,10474000.0,104.0,20560.0,10.379999999999999,6.370382859591547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
TK,13.0,3631,7201922.0,329.0,45208.0,8.687500000000002,5.0907303713991485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0
UA,2.0,158219,850000.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,41.0,164960,5853267.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,87.0,121730,6521259.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,14.0,14103,1997400.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,102.0,59777,14688000.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
HA,62.0,15254,24862000.0,49.0,7681.0,12.266666666666666,7.523518680333913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
NZ,28.0,9499,15456000.0,105.0,11413.0,9.566666666666668,7.069559156458532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
UA,20.0,156975,516000.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,36.0,172132,5129049.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,2.0,122821,620000.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,28.0,17568,4004700.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,91.0,58381,11757200.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CX,68.0,19842,37604000.0,201.0,49647.0,12.459999999999999,7.22683271641949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
OZ,25.0,8249,16468000.0,104.0,20560.0,10.379999999999999,6.370382859591547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
PR,15.0,10953,6283110.0,81.0,12151.0,7.257142857142858,5.3297458172215375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
UA,33.0,153259,4825600.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,35.0,173354,4983544.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,89.0,132941,6671173.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,27.0,20308,8637300.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,46.0,64022,7235800.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CX,76.0,22213,42028000.0,201.0,49647.0,12.459999999999999,7.22683271641949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
F9,123.0,25803,16543500.0,64.0,6299.0,6.1000000000000005,5.610704055642215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
PR,14.0,12907,5864236.0,81.0,12151.0,7.257142857142858,5.3297458172215375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
UA,34.0,159302,1598000.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,40.0,183026,5701148.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,1.0,131452,310000.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,1.0,19816,554100.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,61.0,67853,8924300.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CX,75.0,22374,41475000.0,201.0,49647.0,12.459999999999999,7.22683271641949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
UA,10.0,164617,4250000.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,264.0,194329,36376296.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,147.0,118938,11017650.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,4.0,17359,582000.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,3.0,57496,363000.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CX,73.0,18713,40369000.0,201.0,49647.0,12.459999999999999,7.22683271641949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
EY,10.0,6374,4919940.0,124.0,28203.0,7.322222222222221,5.639099612920882,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
HA,59.0,14409,23659000.0,49.0,7681.0,12.266666666666666,7.523518680333913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
UA,4.0,152472,1700000.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,204.0,163718,28108956.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,14.0,36425,1989400.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,5.0,15184,727500.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,8.0,52272,968000.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
EY,15.0,6267,7379910.0,124.0,28203.0,7.322222222222221,5.639099612920882,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
F9,77.0,28141,10949246.0,64.0,6299.0,6.1000000000000005,5.610704055642215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
UA,50.0,167699,3350000.0,730.0,90037.0,15.562500000000002,6.332216380203245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
VX,28.0,179859,3984851.0,63.0,6090.0,7.75,2.0506096654409878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
AA,148.0,69269,11092600.0,1410.0,121013.0,10.999999999999998,7.370413828273145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
AC,55.0,25246,7824300.0,214.0,32213.0,14.7,7.780424152962356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
AS,83.0,50246,11952000.0,225.0,13865.0,8.799999999999999,5.971041226899487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CI,26.0,7806,14404000.0,103.0,20948.0,6.733333333333334,5.547071299343465,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
